image_path,label
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/177.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/1315.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/434.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/645.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/311.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/328.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/1094.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/1459.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/235.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/46.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/550.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/335.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/361.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/451.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/1152.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/492.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/1370.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/182.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/432.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/527.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/1136.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/1107.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/971.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/1080.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/1432.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/189.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/876.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/1456.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/899.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/1180.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/1162.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/894.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/602.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/55.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/119.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/646.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/311.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/874.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/NonWildFire/1072.jpg,0
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/518.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/1199.jpg,1
/content/Satellite_Image_Detection/Image_data(satellite)/WilDFire/1179.jpg,1
